Date,Gold,Inflation,Exchnage_rate,Petrochemical,Oil,dominant_score
2021-09-19,26.333332,0.0076,3.74625,69.0,29.008265,1
2021-09-20,26.533333,0.0,3.7491,68.300003,28.884296,1
2021-09-21,26.233334,-0.0038,3.745343,67.300003,28.842976,1
2021-09-22,26.566666,-0.0163,3.745853,68.0,28.842976,1
2021-09-26,26.233334,0.014199999999999999,3.745853,68.300003,28.925619,1
2021-09-27,26.366667,0.011399999999999999,3.7503,69.099998,29.008265,1
2021-09-28,26.6,-0.0015,3.74666,70.199997,29.049585,1
2021-09-29,26.833332,0.0327,3.746802,71.099998,29.834709,0
2021-09-30,27.5,0.015600000000000001,3.746778,71.0,29.710743,1
2021-10-03,27.966665,0.0204,3.746778,71.300003,29.66942,1
2021-10-04,28.433332,-0.039599999999999996,3.7501,70.5,29.752066,1
2021-10-05,27.366667,0.0073,3.745836,70.900002,30.165289,1
2021-10-06,27.533333,-0.0062,3.74598,71.699997,30.619835,1
2021-10-07,27.433332,0.0026,3.74562,72.199997,30.867767,1
2021-10-10,27.666666,0.0058,3.74562,71.900002,30.785124,1
2021-10-11,27.633333,0.0,3.7498,73.5,30.537189,1
2021-10-12,27.766666,0.0206,3.746244,74.800003,30.578512,1
2021-10-13,28.166666,0.0365,3.746824,75.900002,30.702478,0
2021-10-14,29.333332,0.0127,3.746314,79.5,30.578512,0
2021-10-17,29.6,-0.001,3.746314,85.300003,30.785124,1
2021-10-18,29.0,-0.0014000000000000002,3.7504,80.900002,30.90909,1
2021-10-19,29.6,0.0014000000000000002,3.74642,79.599998,30.90909,1
2021-10-20,29.466665,-0.0014000000000000002,3.746962,77.199997,30.867767,1
2021-10-21,29.333332,0.0014000000000000002,3.746932,79.599998,30.826447,1
2021-10-24,29.6,-0.0203,3.746932,78.300003,30.950413,1
2021-10-25,29.166666,-0.038,3.7503,78.099998,30.826447,1
2021-10-26,27.933332,0.0083,3.746382,77.400002,30.90909,0
2021-10-27,28.166666,0.0046,3.74585,77.099998,30.867767,1
2021-10-28,28.0,-0.0365,3.746375,75.5,31.074381,1
2021-10-31,27.200001,-0.035699999999999996,3.746375,75.900002,31.322313,1
2021-11-01,26.233334,0.024399999999999998,3.7505,75.0,31.322313,1
2021-11-02,26.9,0.0123,3.746649,74.199997,31.198347,0
2021-11-03,27.333332,-0.021,3.746996,74.699997,31.280991,1
2021-11-04,26.533333,-0.0113,3.746911,74.0,31.033056,1
2021-11-07,26.466665,-0.020099999999999996,3.746911,74.5,31.074381,1
2021-11-08,25.799999,-0.0116,3.7502,75.0,31.033056,0
2021-11-09,25.5,0.0325,3.746415,73.699997,30.991735,1
2021-11-10,26.333332,-0.0060999999999999995,3.7498,72.800003,30.826447,1
2021-11-11,26.0,-0.018000000000000002,3.745932,72.400002,30.867767,0
2021-11-14,25.866667,0.0167,3.745932,73.5,30.991735,1
2021-11-15,26.133333,0.014199999999999999,3.75,72.199997,30.867767,1
2021-11-16,26.5,0.0038,3.74645,71.0,30.743801,1
2021-11-17,26.6,-0.0075,3.747404,70.099998,30.578512,1
2021-11-18,26.4,-0.0064,3.746294,69.5,30.619835,0
2021-11-21,25.766666,-0.026699999999999998,3.746294,68.0,30.247932,1
2021-11-22,25.466665,-0.0325,3.7507,67.099998,29.752066,1
2021-11-23,24.666666,0.044500000000000005,3.746441,67.0,29.214876,1
2021-11-24,26.0,0.005,3.746911,68.900002,29.958677,1
2021-11-25,25.933332,-0.0359,3.746764,68.5,29.793388,1
2021-11-28,25.0,-0.0508,3.746764,67.0,28.925619,1
2021-11-29,23.866667,0.0,3.7508,65.400002,28.884296,0
2021-11-30,23.666666,0.0042,3.747178,64.599998,28.842976,1
2021-12-01,23.666666,0.0042,3.747465,63.900002,28.719007,1
2021-12-02,23.700001,0.023799999999999998,3.746693,64.199997,28.884296,1
2021-12-05,24.666666,0.0151,3.746693,64.400002,28.925619,1
2021-12-06,25.0,-0.031,3.7511,66.199997,29.132231,1
2021-12-07,24.299999,-0.0029,3.74712,65.5,29.173553,1
2021-12-08,24.033333,-0.0012,3.74695,64.699997,28.966942,1
2021-12-09,24.0,-0.0208,3.746948,64.0,29.008265,1
2021-12-12,23.666666,0.0255,3.746948,64.0,28.76033,1
2021-12-13,24.233334,0.0154,3.7509,64.699997,28.76033,0
2021-12-14,24.466665,0.0025,3.746871,65.599998,28.801653,0
2021-12-15,24.533333,0.0326,3.747102,66.400002,28.884296,1
2021-12-16,25.433332,0.0095,3.746903,68.199997,28.966942,0
2021-12-19,25.833332,-0.011699999999999999,3.746903,66.5,29.049585,1
2021-12-20,24.966665,0.0012,3.7529,66.5,28.966942,1
2021-12-21,25.366667,0.017,3.749651,67.800003,29.090908,1
2021-12-22,25.833332,-0.0155,3.750436,70.400002,29.256199,1
2021-12-23,25.366667,-0.0012,3.749978,68.800003,29.214876,0
2021-12-26,25.066666,0.0091,3.749978,69.900002,29.421488,0
2021-12-27,25.366667,0.0055000000000000005,3.7439,68.0,29.338842,0
2021-12-28,25.799999,0.023399999999999997,3.751015,68.199997,29.338842,1
2021-12-29,26.266666,-0.0141,3.751415,68.599998,29.338842,1
2021-12-30,25.833332,0.0104,3.750001,68.400002,29.090908,1
2022-01-02,26.133333,0.0038,3.750001,68.699997,29.545454,1
2022-01-03,26.266666,-0.0053,3.7531,69.099998,29.338842,1
2022-01-04,26.133333,0.0077,3.750006,68.800003,29.421488,1
2022-01-05,26.200001,0.0015,3.751174,68.900002,29.380165,0
2022-01-06,26.366667,0.0125,3.751553,68.699997,29.421488,0
2022-01-09,26.833332,0.0236,3.751553,69.099998,29.338842,1
2022-01-10,27.4,0.0355,3.752,69.800003,29.504131,1
2022-01-11,28.299999,0.011699999999999999,3.749362,71.300003,29.421488,1
2022-01-12,28.666666,0.0269,3.749098,72.599998,29.752066,1
2022-01-13,29.533333,0.0146,3.748855,73.199997,30.041323,1
2022-01-16,29.966665,0.0335,3.748855,74.199997,30.330578,1
2022-01-17,31.0,-0.016200000000000003,3.7511,74.5,30.413223,0
2022-01-18,30.333332,-0.0264,3.748925,74.099998,30.495867,1
2022-01-19,29.533333,0.0406,3.747694,72.5,30.371901,1
2022-01-20,31.133333,0.0163,3.746848,71.599998,30.330578,0
2022-01-23,31.733334,-0.0275,3.746848,70.0,30.371901,1
2022-01-24,30.366667,-0.0023,3.7505,68.699997,30.165289,1
2022-01-25,30.133333,0.001,3.7506,68.5,29.958677,1
2022-01-26,30.333332,0.011200000000000002,3.746253,69.599998,30.165289,1
2022-01-27,30.333332,0.006500000000000001,3.74692,69.599998,30.495867,1
2022-01-30,30.966665,-0.006500000000000001,3.74692,68.800003,30.495867,1
